model|params|mean_test_score|std_test_score|rank_test_score
LightGBM|{'learning_rate': 0.1, 'min_child_samples': 50, 'n_estimators': 50, 'num_leaves': 50}|0.9106153468987496|0.0019259785006898|54
LightGBM|{'learning_rate': 0.1, 'min_child_samples': 50, 'n_estimators': 50, 'num_leaves': 100}|0.9120944675982676|0.0017512750107828|42
LightGBM|{'learning_rate': 0.1, 'min_child_samples': 50, 'n_estimators': 50, 'num_leaves': 150}|0.9128381139168096|0.0021269655614934|30
LightGBM|{'learning_rate': 0.1, 'min_child_samples': 50, 'n_estimators': 100, 'num_leaves': 31}|0.9123314537876932|0.0018005358202479|37
LightGBM|{'learning_rate': 0.1, 'min_child_samples': 50, 'n_estimators': 100, 'num_leaves': 50}|0.9129852087930048|0.0022027275428724|28
LightGBM|{'learning_rate': 0.1, 'min_child_samples': 50, 'n_estimators': 100, 'num_leaves': 100}|0.9138596061126092|0.0023929130039311|11
LightGBM|{'learning_rate': 0.1, 'min_child_samples': 50, 'n_estimators': 100, 'num_leaves': 150}|0.9134264934215904|0.0020474577159837|18
LightGBM|{'learning_rate': 0.1, 'min_child_samples': 50, 'n_estimators': 200, 'num_leaves': 31}|0.9134264934215904|0.0017441679373665|18
LightGBM|{'learning_rate': 0.1, 'min_child_samples': 50, 'n_estimators': 200, 'num_leaves': 50}|0.9140230448639372|0.0018921873945953|6
LightGBM|{'learning_rate': 0.1, 'min_child_samples': 50, 'n_estimators': 200, 'num_leaves': 100}|0.9136553076734494|0.0020082692442497|15
LightGBM|{'learning_rate': 0.1, 'min_child_samples': 50, 'n_estimators': 200, 'num_leaves': 150}|0.9127318787284464|0.0021932786228786|31
